feature,score_a,score_b,U,p_valor,p_bonf,sig_bonf
amplitud_max,0,1,1613.0,1.1623568559675801e-12,1.1623568559675801e-11,True
amplitud_max,0,2,2364.0,4.94834259397467e-08,4.94834259397467e-07,True
amplitud_max,0,3,4629.0,0.9812389347452526,1.0,False
amplitud_max,0,4,6734.0,1.0491039395431096e-08,1.0491039395431097e-07,True
amplitud_max,1,2,2570.0,5.299422284847682e-05,0.0005299422284847683,True
amplitud_max,1,3,3489.0,7.611611820861084e-18,7.611611820861085e-17,True
amplitud_max,1,4,3539.0,5.4837844612013536e-21,5.483784461201353e-20,True
amplitud_max,2,3,3270.0,3.1003578907270577e-12,3.100357890727058e-11,True
amplitud_max,2,4,3607.0,3.2769126769136174e-20,3.2769126769136173e-19,True
amplitud_max,3,4,3206.0,5.5599340391822326e-12,5.5599340391822326e-11,True
rango_wx,0,1,1781.0,2.382509049656544e-11,2.382509049656544e-10,True
rango_wx,0,2,2646.0,2.056937297363327e-06,2.056937297363327e-05,True
rango_wx,0,3,5099.0,0.23525808234348122,1.0,False
rango_wx,0,4,7092.0,3.409793957175356e-11,3.4097939571753564e-10,True
rango_wx,1,2,2491.0,0.00028638577383489813,0.0028638577383489814,True
rango_wx,1,3,3461.0,2.6712876406148132e-17,2.671287640614813e-16,True
rango_wx,1,4,3537.0,6.066376383595041e-21,6.066376383595041e-20,True
rango_wx,2,3,3269.0,3.2138720431813974e-12,3.2138720431813977e-11,True
rango_wx,2,4,3602.0,4.170491828881161e-20,4.170491828881161e-19,True
rango_wx,3,4,3218.0,3.6027945843112358e-12,3.602794584311236e-11,True
compensacion_lateral,0,1,1825.0,5.100349545253252e-11,5.100349545253252e-10,True
compensacion_lateral,0,2,3109.0,0.0003312138148924902,0.003312138148924902,True
compensacion_lateral,0,3,5432.0,0.04430337666145654,0.4430337666145654,False
compensacion_lateral,0,4,6919.0,6.004563130178248e-10,6.004563130178247e-09,True
compensacion_lateral,1,2,2761.0,4.543698850770573e-07,4.543698850770573e-06,True
compensacion_lateral,1,3,3497.0,5.297027508669197e-18,5.297027508669197e-17,True
compensacion_lateral,1,4,3539.0,5.4837844612013536e-21,5.483784461201353e-20,True
compensacion_lateral,2,3,3168.0,1.067040103821833e-10,1.067040103821833e-09,True
compensacion_lateral,2,4,3626.0,1.3028302769032618e-20,1.3028302769032616e-19,True
compensacion_lateral,3,4,2900.0,1.0183178424554772e-07,1.0183178424554773e-06,True
velocidad_pico_max,0,1,1984.0,7.199941482779696e-10,7.199941482779696e-09,True
velocidad_pico_max,0,2,3019.0,0.00013634392029239113,0.0013634392029239113,True
velocidad_pico_max,0,3,5311.0,0.08695314148043035,0.8695314148043034,False
velocidad_pico_max,0,4,7117.0,2.2180878136289235e-11,2.2180878136289235e-10,True
velocidad_pico_max,1,2,2473.0,0.0004111451143970194,0.004111451143970194,True
velocidad_pico_max,1,3,3391.0,5.627322621928434e-16,5.627322621928433e-15,True
velocidad_pico_max,1,4,3532.0,7.804397552775495e-21,7.804397552775495e-20,True
velocidad_pico_max,2,3,3146.0,2.212031696200411e-10,2.212031696200411e-09,True
velocidad_pico_max,2,4,3558.0,3.3830162864126315e-19,3.3830162864126313e-18,True
velocidad_pico_max,3,4,3101.0,2.1146708767010147e-10,2.1146708767010146e-09,True
rango_wy,0,1,1405.0,2.1496817107710884e-14,2.1496817107710884e-13,True
rango_wy,0,2,1920.0,5.245367591521986e-11,5.245367591521986e-10,True
rango_wy,0,3,3356.0,0.001777388836935237,0.01777388836935237,True
rango_wy,0,4,4548.0,0.8446603216809117,1.0,False
rango_wy,1,2,2421.0,0.001114682062436097,0.01114682062436097,True
rango_wy,1,3,3004.0,1.1266778540714008e-09,1.1266778540714008e-08,True
rango_wy,1,4,3442.0,6.454339690557019e-19,6.454339690557019e-18,True
rango_wy,2,3,2709.0,3.544947872783445e-05,0.0003544947872783445,True
rango_wy,2,4,3386.0,7.395385819648912e-16,7.395385819648912e-15,True
rango_wy,3,4,2591.0,0.00018329511614141873,0.0018329511614141873,True
rms_acc_lateral,0,1,3643.0,0.054626396390438196,0.5462639639043819,False
rms_acc_lateral,0,2,5034.0,0.22125111210249893,1.0,False
rms_acc_lateral,0,3,6769.0,1.0335113352989119e-07,1.0335113352989119e-06,True
rms_acc_lateral,0,4,6367.0,1.6288465946504112e-06,1.628846594650411e-05,True
rms_acc_lateral,1,2,2451.0,0.0006323659353702025,0.006323659353702025,True
rms_acc_lateral,1,3,3197.0,1.3300962069309768e-12,1.3300962069309769e-11,True
rms_acc_lateral,1,4,2825.0,2.0873130927981758e-08,2.0873130927981757e-07,True
rms_acc_lateral,2,3,2887.0,4.760932367058708e-07,4.760932367058708e-06,True
rms_acc_lateral,2,4,2611.0,5.2064612232441225e-05,0.0005206461223244123,True
rms_acc_lateral,3,4,2017.0,0.42286636680067646,1.0,False
amplitud_cv,0,1,6476.0,1.0623838552864882e-07,1.0623838552864883e-06,True
amplitud_cv,0,2,5798.0,0.0017225619641067262,0.017225619641067263,True
amplitud_cv,0,3,4490.0,0.750423911179674,1.0,False
amplitud_cv,0,4,4186.0,0.4735306898770252,1.0,False
amplitud_cv,1,2,1259.0,0.004587466815661292,0.045874668156612924,True
amplitud_cv,1,3,685.0,3.0368290914131632e-09,3.036829091413163e-08,True
amplitud_cv,1,4,607.0,6.466523387056492e-10,6.466523387056492e-09,True
amplitud_cv,2,3,1188.0,0.0003800344626034018,0.003800344626034018,True
amplitud_cv,2,4,1028.0,3.25251290275206e-05,0.000325251290275206,True
amplitud_cv,3,4,1750.0,0.5749579104516802,1.0,False
regularidad,0,1,2315.0,1.0623838552864882e-07,1.0623838552864883e-06,True
regularidad,0,2,3291.0,0.0017225619641067262,0.017225619641067263,True
regularidad,0,3,4748.0,0.750423911179674,1.0,False
regularidad,0,4,4754.0,0.4735306898770252,1.0,False
regularidad,1,2,2340.0,0.004587466815661292,0.045874668156612924,True
regularidad,1,3,2973.0,3.0368290914131632e-09,3.036829091413163e-08,True
regularidad,1,4,2933.0,6.466523387056492e-10,6.466523387056492e-09,True
regularidad,2,3,2594.0,0.0003800344626034018,0.003800344626034018,True
regularidad,2,4,2632.0,3.25251290275206e-05,0.000325251290275206,True
regularidad,3,4,1970.0,0.5749579104516802,1.0,False
rango_wz,0,1,3168.0,0.001714084373185943,0.01714084373185943,True
rango_wz,0,2,3375.0,0.0034535083035760923,0.03453508303576092,True
rango_wz,0,3,4671.0,0.8985607278577346,1.0,False
rango_wz,0,4,5270.0,0.0432486945845966,0.432486945845966,False
rango_wz,1,2,2014.0,0.2612826188851721,1.0,False
rango_wz,1,3,2637.0,2.8232482383400938e-05,0.0002823248238340094,True
rango_wz,1,4,2945.0,4.309153416898413e-10,4.309153416898413e-09,True
rango_wz,2,3,2684.0,6.1018774619890344e-05,0.0006101877461989034,True
rango_wz,2,4,3017.0,7.704970910090692e-10,7.704970910090691e-09,True
rango_wz,3,4,2285.0,0.029710867822670375,0.2971086782267037,False
rango_angular_total,0,1,2654.0,8.612774174521937e-06,8.612774174521937e-05,True
rango_angular_total,0,2,3099.0,0.000300820514047073,0.00300820514047073,True
rango_angular_total,0,3,2979.0,4.942901628560236e-05,0.0004942901628560236,True
rango_angular_total,0,4,3381.0,0.005924127474139055,0.05924127474139055,False
rango_angular_total,1,2,2314.0,0.006972075322030278,0.06972075322030277,False
rango_angular_total,1,3,2151.0,0.0954882773986761,0.954882773986761,False
rango_angular_total,1,4,2526.0,5.933569847233572e-05,0.0005933569847233572,True
rango_angular_total,2,3,1808.0,0.6764417135125002,1.0,False
rango_angular_total,2,4,2351.0,0.006969373637406005,0.06969373637406005,False
rango_angular_total,3,4,2367.0,0.009490592287239148,0.09490592287239148,False
energia_relativa_x,0,1,6080.0,1.6797973703129815e-05,0.00016797973703129815,True
energia_relativa_x,0,2,6046.0,0.00017356758740204843,0.0017356758740204844,True
energia_relativa_x,0,3,6049.0,0.0004024220344840595,0.004024220344840595,True
energia_relativa_x,0,4,6201.0,1.2139936629756124e-05,0.00012139936629756123,True
energia_relativa_x,1,2,1706.0,0.6254144040858306,1.0,False
energia_relativa_x,1,3,1713.0,0.5492243710230521,1.0,False
energia_relativa_x,1,4,1910.0,0.4584302539500499,1.0,False
energia_relativa_x,2,3,1763.0,0.518956550976589,1.0,False
energia_relativa_x,2,4,2014.0,0.34146462746700323,1.0,False
energia_relativa_x,3,4,1994.0,0.4941822391145031,1.0,False
